Age,Workclass,Education,Marital-status,Occupation,Relationship,Race,Gender,Hours-per-week,Native-country,Income,Encoded_Salary
25,Private,Less than Bachelor's,Never-married,Machine-op-inspct,Own-child,Black,Male,40,United-States,<=50K,0
38,Private,Less than Bachelor's,Married-civ-spouse,Farming-fishing,Husband,White,Male,50,United-States,<=50K,0
28,Local-gov,Less than Bachelor's,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,>50K,1
44,Private,Less than Bachelor's,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,40,United-States,>50K,1
34,Private,Less than Bachelor's,Never-married,Other-service,Not-in-family,White,Male,30,United-States,<=50K,0
63,Self-emp-not-inc,Master's Degree,Married-civ-spouse,Prof-specialty,Husband,White,Male,32,United-States,>50K,1
24,Private,Less than Bachelor's,Never-married,Other-service,Unmarried,White,Female,40,United-States,<=50K,0
55,Private,Less than Bachelor's,Married-civ-spouse,Craft-repair,Husband,White,Male,10,United-States,<=50K,0
65,Private,Less than Bachelor's,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,>50K,1
36,Federal-gov,Bachelor's Degree,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,<=50K,0
26,Private,Less than Bachelor's,Never-married,Adm-clerical,Not-in-family,White,Female,39,United-States,<=50K,0
48,Private,Less than Bachelor's,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,48,United-States,>50K,1
43,Private,Master's Degree,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K,1
20,State-gov,Less than Bachelor's,Never-married,Other-service,Own-child,White,Male,25,United-States,<=50K,0
43,Private,Less than Bachelor's,Married-civ-spouse,Adm-clerical,Wife,White,Female,30,United-States,<=50K,0
37,Private,Less than Bachelor's,Widowed,Machine-op-inspct,Unmarried,White,Female,20,United-States,<=50K,0
34,Private,Bachelor's Degree,Married-civ-spouse,Tech-support,Husband,White,Male,47,United-States,>50K,1
34,Private,Less than Bachelor's,Never-married,Other-service,Own-child,Black,Female,35,United-States,<=50K,0
25,Private,Bachelor's Degree,Never-married,Prof-specialty,Not-in-family,White,Male,43,Peru,<=50K,0
25,Private,Bachelor's Degree,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,<=50K,0
45,Self-emp-not-inc,Less than Bachelor's,Married-civ-spouse,Craft-repair,Husband,White,Male,90,United-States,>50K,1
22,Private,Less than Bachelor's,Never-married,Adm-clerical,Own-child,White,Male,20,United-States,<=50K,0
23,Private,Less than Bachelor's,Separated,Machine-op-inspct,Unmarried,Black,Male,54,United-States,<=50K,0
54,Private,Less than Bachelor's,Married-civ-spouse,Craft-repair,Husband,White,Male,35,United-States,<=50K,0
32,Self-emp-not-inc,Less than Bachelor's,Never-married,Prof-specialty,Not-in-family,White,Male,60,United-States,<=50K,0
46,State-gov,Less than Bachelor's,Married-civ-spouse,Exec-managerial,Husband,Black,Male,38,United-States,>50K,1
56,Self-emp-not-inc,Less than Bachelor's,Widowed,Other-service,Unmarried,White,Female,50,United-States,<=50K,0
24,Self-emp-not-inc,Bachelor's Degree,Never-married,Sales,Not-in-family,White,Male,50,United-States,<=50K,0
23,Local-gov,Less than Bachelor's,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,<=50K,0
26,Private,Less than Bachelor's,Divorced,Exec-managerial,Unmarried,White,Female,40,United-States,<=50K,0
36,Local-gov,Bachelor's Degree,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K,1
22,Private,Less than Bachelor's,Never-married,Priv-house-serv,Not-in-family,White,Male,50,Guatemala,<=50K,0
17,Private,Less than Bachelor's,Never-married,Machine-op-inspct,Not-in-family,White,Male,40,United-States,<=50K,0
20,Private,Less than Bachelor's,Never-married,Craft-repair,Own-child,White,Male,40,United-States,<=50K,0
65,Private,Master's Degree,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,>50K,1
44,Self-emp-inc,Bachelor's Degree,Married-civ-spouse,Sales,Husband,White,Male,45,United-States,>50K,1
